Ground Truth (GT),LR (3000),Att(4000) (proper weights),LIG (5000),LIME (5000),LxA(5000),,Att (1400),Correct Att (3500),Correct LR (1500),,,"GT with ,","LR with ,","Att with ,","LIG with ,","LIME with ,","LxA with ,"
prolonged,filmmaking,school,pure,intensity,appear,,soap,our,theatrical,,,"prolonged,","filmmaking,","school,","pure,","intensity,","appear,"
rejected,promise,desperately,match,manages,spark,,failure,though,death,,,"rejected,","promise,","desperately,","match,","manages,","spark,"
flatly,view,american,creations,entertainment,first,,powerful,hold,extraordinary,,,"flatly,","view,","american,","creations,","entertainment,","first,"
phenomenon,wait,friends,dialogue,animated,two,,cinematography,ford,faith,,,"phenomenon,","wait,","friends,","dialogue,","animated,","two,"
emphasizes,auschwitz,typical,sentiment,central,throw,,reason,pretty,champion,,,"emphasizes,","auschwitz,","typical,","sentiment,","central,","throw,"
scarcely,simulation,1998,clumsy,written,actors,,chateau,we,heart,,,"scarcely,","simulation,","1998,","clumsy,","written,","actors,"
expressive,theatrical,might,unfortunately,believe,reaction,,distance,these,adaptation,,,"expressive,","theatrical,","might,","unfortunately,","believe,","reaction,"
successfully,camp,generally,tissues,anyone,so,,wrapped,never,noir,,,"successfully,","camp,","generally,","tissues,","anyone,","so,"
bitten,extraordinary,friend,bring,creation,extremes,,channel,feel,works,,,"bitten,","extraordinary,","friend,","bring,","creation,","extremes,"
transformed,heart,reason,betrayed,around,continuum,,violence,one,makes,,,"transformed,","heart,","reason,","betrayed,","around,","continuum,"
downward,champion,her,conviction,questions,manages,,use,current,keeping,,,"downward,","champion,","her,","conviction,","questions,","manages,"
evolve,adaptation,cell,bourne,difference,intensity,,lesser,industry,derivative,,,"evolve,","adaptation,","cell,","bourne,","difference,","intensity,"
dies,interesting,dogs,jason,comic,flair,,thriller,recording,sequel,,,"dies,","interesting,","dogs,","jason,","comic,","flair,"
examines,descends,possible,role,moments,terrific,,manner,climate,disney,,,"examines,","descends,","possible,","role,","moments,","terrific,"
heroic,works,most,brings,become,family,,miss,corporate,despite,,,"heroic,","works,","most,","brings,","become,","family,"
foolish,keeping,sleep,diplomacy,standard,entertainment,,potent,together,fights,,,"foolish,","keeping,","sleep,","diplomacy,","standard,","entertainment,"
formed,derivative,humane,charm,follow,animated,,excitement,experience,problem,,,"formed,","derivative,","humane,","charm,","follow,","animated,"
offended,sequel,afford,generosity,criminal,anyone,,insult,overall,compelling,,,"offended,","sequel,","afford,","generosity,","criminal,","anyone,"
fused,archives,pain,years,explore,you,,problems,shots,picture,,,"fused,","archives,","pain,","years,","explore,","you,"
reaches,despite,could,share,yet,written,,fat,men,minutes,,,"reaches,","despite,","could,","share,","yet,","written,"
effectively,argues,sign,effort,sudden,central,,document,women,romance,,,"effectively,","argues,","sign,","effort,","sudden,","central,"
precise,ambitions,decided,engaging,wisdom,alternating,,imagination,total,procession,,,"precise,","ambitions,","decided,","engaging,","wisdom,","alternating,"
playfully,problem,another,collapse,career,parody,,turns,carried,sweeping,,,"playfully,","problem,","another,","collapse,","career,","parody,"
bolt,compelling,someone,forgive,directed,pulp,,2002,lack,remarkable,,,"bolt,","compelling,","someone,","forgive,","directed,","pulp,"
screams,mere,procedure,flaws,washington,questions,,complete,sounds,genre,,,"screams,","mere,","procedure,","flaws,","washington,","questions,"
knockout,84,read,tool,clear,difference,,politics,ideas,pictures,,,"knockout,","84,","read,","tool,","clear,","difference,"
rooted,procession,may,serves,ahead,moments,,captures,seem,involved,,,"rooted,","procession,","may,","serves,","ahead,","moments,"
strains,remarkable,working,learning,certainly,artworks,,combining,fresh,shows,,,"strains,","remarkable,","working,","learning,","certainly,","artworks,"
fiercely,date,times,effective,memory,become,,sexuality,history,acting,,,"fiercely,","date,","times,","effective,","memory,","become,"
wreckage,short,young,community,long,explore,,offensive,weak,wildly,,,"wreckage,","short,","young,","community,","long,","explore,"
ordeal,pleasant,work,importance,eyes,standard,,engage,few,uneven,,,"ordeal,","pleasant,","work,","importance,","eyes,","standard,"
plateau,slightest,thinking,conquer,away,stale,,emotionally,people,music,,,"plateau,","slightest,","thinking,","conquer,","away,","stale,"
discarded,wildly,happen,business,read,!,,prove,power,90,,,"discarded,","wildly,","happen,","business,","read,","!,"
humming,videos,conversation,delivers,images,sudden,,revealing,help,videos,,,"humming,","videos,","conversation,","delivers,","images,","sudden,"
commands,music,near,plans,hate,wisdom,,done,almost,depth,,,"commands,","music,","near,","plans,","hate,","wisdom,"
prominent,color,party,cell,tear,ahead,,gets,horror,being,,,"prominent,","color,","party,","cell,","tear,","ahead,"
yields,preliminary,others,roll,addition,memory,,chilling,absolute,narrative,,,"yields,","preliminary,","others,","roll,","addition,","memory,"
stakes,style,sports,suspense,recent,showcase,,fewer,life,amounts,,,"stakes,","style,","sports,","suspense,","recent,","showcase,"
muted,narrative,praises,surprise,titles,tear,,deep,much,style,,,"muted,","narrative,","praises,","surprise,","titles,","tear,"
naive,difficult,drive,lacking,sporting,long,,submarine,without,frustrating,,,"naive,","difficult,","drive,","lacking,","sporting,","long,"
worm,unpredictable,stop,portrayal,generally,eyes,,supernatural,fun,difficult,,,"worm,","unpredictable,","stop,","portrayal,","generally,","eyes,"
vacant,running,his,realistic,quite,images,,grand,based,unpredictable,,,"vacant,","running,","his,","realistic,","quite,","images,"
grenade,spectacle,enough,grab,go,hate,,found,TRUE,running,,,"grenade,","spectacle,","enough,","grab,","go,","hate,"
transforms,conclusions,little,trying,going,cinematic,,idiots,significant,spectacle,,,"transforms,","conclusions,","little,","trying,","going,","cinematic,"
liability,dramas,bit,lump,show,addition,,holes,historically,ultimate,,,"liability,","dramas,","bit,","lump,","show,","addition,"
slapping,reach,those,stunts,late,recent,,pilot,tribute,ii,,,"slapping,","reach,","those,","stunts,","late,","recent,"
motionless,satisfying,year,reveals,put,titles,,blend,first,epic,,,"motionless,","satisfying,","year,","reveals,","put,","titles,"
numb,ponder,totally,talents,science,going,,screenplay,when,ask,,,"numb,","ponder,","totally,","talents,","science,","going,"
overview,forces,white,others,theatre,em,,bored,two,satisfying,,,"overview,","forces,","white,","others,","theatre,","em,"
vain,speak,otherwise,relief,build,mystery,,wish,enough,reach,,,"vain,","speak,","otherwise,","relief,","build,","mystery,"
satisfactory,enables,sweet,welcome,website,other,,tale,heat,character,,,"satisfactory,","enables,","sweet,","welcome,","website,","other,"
scoring,considerable,item,filmmaking,theater,late,,thoughtful,appear,translation,,,"scoring,","considerable,","item,","filmmaking,","theater,","late,"
explosive,large,meat,promise,mystery,down,,drugs,comedy,ponder,,,"explosive,","large,","meat,","promise,","mystery,","down,"
disastrous,flat,less,wait,em,go,,sitcom,reaction,forces,,,"disastrous,","flat,","less,","wait,","em,","go,"
stripped,bold,store,auschwitz,work,concert,,playing,throw,considerable,,,"stripped,","bold,","store,","auschwitz,","work,","concert,"
attracting,effects,giant,theatrical,concert,work,,suffers,actors,flat,,,"attracting,","effects,","giant,","theatrical,","concert,","work,"
effectiveness,whole,remember,simulation,deal,fluid,,strong,ca,scattered,,,"effectiveness,","whole,","remember,","simulation,","deal,","fluid,"
counts,flashes,remarkable,death,direction,ron,,touches,so,bold,,,"counts,","flashes,","remarkable,","death,","direction,","ron,"
ineffective,sibling,interior,faith,authority,direction,,rodriguez,robert,standards,,,"ineffective,","sibling,","interior,","faith,","authority,","direction,"
error,reconciliation,together,extraordinary,harris,cam,,roger,family,effects,,,"error,","reconciliation,","together,","extraordinary,","harris,","cam,"
deficit,warmth,sisters,champion,ron,further,,wry,keep,actually,,,"deficit,","warmth,","sisters,","champion,","ron,","further,"
arrogant,avoids,close,heart,seal,would,,reality,entertainment,whole,,,"arrogant,","avoids,","close,","heart,","seal,","would,"
beaches,script,served,adaptation,fluid,had,,plotted,animated,flashes,,,"beaches,","script,","served,","adaptation,","fluid,","had,"
destructive,credits,bloody,descends,would,storytelling,,talent,you,warmth,,,"destructive,","credits,","bloody,","descends,","would,","storytelling,"
contributions,bar,group,noir,gone,piece,,living,central,humor,,,"contributions,","bar,","group,","noir,","gone,","piece,"
flopped,enjoy,destination,tight,step,casts,,depths,written,script,,,"flopped,","enjoy,","destination,","tight,","step,","casts,"
weighs,predecessors,reminded,works,piece,landscape,,complexity,believe,avoids,,,"weighs,","predecessors,","reminded,","works,","piece,","landscape,"
shaking,visions,slightly,into,harsh,watch,,dramatic,anyone,sensitive,,,"shaking,","visions,","slightly,","into,","harsh,","watch,"
respects,beyond,feels,derivative,shirt,talented,,among,creation,ride,,,"respects,","beyond,","feels,","derivative,","shirt,","talented,"
ensures,pacing,throughout,sequel,takes,takes,,predecessor,around,enjoy,,,"ensures,","pacing,","throughout,","sequel,","takes,","takes,"
,affair,change,archives,watch,uses,,sets,questions,add,,,,,,,,
,before,itself,disney,create,pleasures,,sentence,difference,pacing,,,,,,,,
,things,heart,despite,uses,kind,,comedies,comic,entirely,,,,,,,,
,breathless,make,fights,landscape,masterpiece,,subjects,moments,feels,,,,,,,,
,significantly,whose,ambitions,attractive,car,,acid,become,things,,,,,,,,
,tides,childhood,whether,provide,forgotten,,teen,does,predictable,,,,,,,,
,predictable,using,compelling,called,lot,,flick,standard,brilliant,,,,,,,,
,entertaining,animals,runs,kind,twice,,oddly,follow,entertaining,,,,,,,,
,brilliant,manner,minutes,slight,maybe,,asks,criminal,technically,,,,,,,,
,subordinate,although,picture,time,hopeless,,meaningful,yet,positive,,,,,,,,
,here,clinic,procession,back,charming,,beneath,!,here,,,,,,,,
,vicious,previously,sweeping,get,giving,,assembled,sudden,tone,,,,,,,,
,goofy,portuguese,remarkable,car,college,,laughter,career,goofy,,,,,,,,
,quivering,excited,pictures,maybe,try,,closely,directed,length,,,,,,,,
,kinetic,live,genre,lot,old,,need,washington,respect,,,,,,,,
,may,born,romance,completely,pure,,invention,clear,emotions,,,,,,,,
,inside,heard,date,twice,match,,drag,ahead,straightforward,,,,,,,,
,term,living,pleasant,laugh,answers,,juvenile,certainly,thin,,,,,,,,
,emotions,special,slightest,parking,sentiment,,directing,memory,title,,,,,,,,
,confessions,previous,dash,forgotten,dialogue,,attention,long,delightful,,,,,,,,
,straightforward,yourself,involved,old,clumsy,,literary,eyes,spare,,,,,,,,
,title,search,wildly,college,unfortunately,,dull,away,structured,,,,,,,,
,thin,certainly,uneven,match,love,,witty,read,different,,,,,,,,
,wildlife,roll,music,try,betrayed,,brutal,images,crossover,,,,,,,,
,structured,couple,color,giving,surprisingly,,portrait,hate,indian,,,,,,,,
,traditionally,invited,depth,pure,conviction,,root,tear,adventurous,,,,,,,,
,crossover,entire,over,answers,bourne,,fails,addition,markets,,,,,,,,
,adventurous,interaction,re,dialogue,brings,,bard,recent,idea,,,,,,,,
,markets,starting,preliminary,love,generosity,,winning,titles,admission,,,,,,,,
,worth,basic,narrative,unfortunately,diplomacy,,bottom,sporting,worth,,,,,,,,
,admission,rate,difficult,lovely,woman,,showcases,generally,shallow,,,,,,,,
,schumacher,process,frustrating,bring,years,,davies,quite,joel,,,,,,,,
,shallow,searching,trouble,budget,share,,puts,other,schumacher,,,,,,,,
,joel,jacket,amounts,makeup,loss,,tension,down,produced,,,,,,,,
,targeted,ii,unpredictable,role,taking,,bleak,go,reflects,,,,,,,,
,carnage,2001,ultimate,jason,art,,results,going,footage,,,,,,,,
,blair,gear,spectacle,proper,engaging,,extended,own,blair,,,,,,,,
,handheld,towards,epic,brings,examination,,convincing,show,fiddle,,,,,,,,
,footage,lean,ii,great,collapse,,viewer,late,nomination,,,,,,,,
,fiddle,blue,hardly,woman,forgive,,morton,put,oscar,,,,,,,,
,folly,seat,fans,years,itself,,deserves,science,irritating,,,,,,,,
,nomination,despite,conclusions,art,tool,,affection,theatre,exercise,,,,,,,,
,offering,managed,dramas,taking,scene,,documentary,build,halfway,,,,,,,,
,oscar,potato,translation,artist,big,,kills,website,borders,,,,,,,,
,esther,life,ponder,loss,stick,,satire,theater,distraction,,,,,,,,
,exercise,cheap,forces,share,community,,courage,mystery,fascinating,,,,,,,,
,halfway,seizures,enables,effort,set,,admire,em,filmed,,,,,,,,
,grips,music,considerable,similar,delivers,,intellectual,work,martial,,,,,,,,
,fascinating,show,scattered,examination,wild,,test,concert,camera,,,,,,,,
,martial,finish,fashion,collapse,phones,,meditation,deal,arts,,,,,,,,
,jagged,care,bold,challenges,supposed,,madness,direction,rhythms,,,,,,,,
,arts,recent,standards,forgive,watching,,freddy,authority,credibility,,,,,,,,
,rhythms,boot,effects,learning,roll,,moody,harris,actresses,,,,,,,,
,stream,ride,backseat,serves,rock,,stereotypes,ron,take,,,,,,,,
,manufactured,watch,dot,tool,suspense,,bore,seal,valuable,,,,,,,,
,slick,fish,mess,way,lacking,,involving,had,guys,,,,,,,,
,credibility,title,flashes,play,surprise,,sequence,would,desperately,,,,,,,,
,actresses,team,reconciliation,big,realistic,,designed,further,essentially,,,,,,,,
,nicely,fans,sibling,scene,portrayal,,ticket,gone,grant,,,,,,,,
,quentin,current,warmth,excuse,grab,,dvd,step,hugh,,,,,,,,
,desperately,shot,gentle,effective,squeeze,,smart,piece,line,,,,,,,,
,hugh,opening,avoids,stick,lump,,comedic,shirt,insight,,,,,,,,
,grant,second,sensitive,community,tries,,deals,takes,genuine,,,,,,,,
,insight,start,script,tradition,trying,,ensemble,watch,hours,,,,,,,,
,hours,before,working,importance,stunts,,painful,create,tones,,,,,,,,
,blue,twice,ride,set,reveals,,allows,uses,blue,,,,,,,,
,brown,writing,predecessors,look,important,,ourselves,landscape,includes,,,,,,,,
,crime,heights,dark,business,talents,,reacting,provide,crime,,,,,,,,
,includes,shapes,add,plans,service,,colorful,called,steven,,,,,,,,
,steven,adventurous,pacing,cell,special,,parade,kind,fighting,,,,,,,,
,celebration,equal,yes,wild,filmmaking,,marvel,slight,heal,,,,,,,,
,metaphor,number,entirely,online,promise,,pulls,(,under,,,,,,,,
,wanting,middle,exposure,watching,wait,,fantasy,),metaphor,,,,,,,,
,retains,arms,affair,supposed,auschwitz,,ironically,after,retains,,,,,,,,
,resonance,legs,breathless,absolutely,theatrical,,result,time,resonance,,,,,,,,
,viewers,short,tides,ridiculous,death,,emerging,back,viewers,,,,,,,,
,format,front,predictable,rock,justify,,audiences,get,format,,,,,,,,
,handsome,call,brilliant,roll,extraordinary,,buy,car,drama,,,,,,,,
,drama,boy,entertaining,surprise,faith,,nerve,maybe,her,,,,,,,,
,either,chance,subordinate,consistent,champion,,strike,lot,haunting,,,,,,,,
